order_id,ship_date,ship_mode,customer_id,postal_code,date_id,delais_livraison
CA-2017-129903,2017-12-04,second class,GZ-14470,55901,38,3
US-2016-156867,2016-11-17,standard class,LC-16870,80013,39,4
CA-2018-119004,2018-11-28,standard class,JM-15250,28205,40,5
CA-2016-129476,2016-10-20,standard class,PA-19060,60462,41,5
CA-2018-146780,2018-12-30,standard class,CV-12805,10035,42,5
CA-2015-115259,2015-08-27,second class,RC-19960,43229,43,2
US-2016-136476,2016-04-10,standard class,GG-14650,37620,44,5
CA-2017-103730,2017-06-15,first class,SC-20725,19805,2,3
US-2017-125969,2017-11-10,second class,LS-16975,90004,45,4
US-2018-164147,2018-02-05,first class,DW-13585,43229,46,3
CA-2017-145583,2017-10-19,standard class,LC-16885,95661,47,6
CA-2018-106180,2018-09-23,standard class,SH-19975,94122,48,5
CA-2017-114489,2017-12-09,standard class,JE-16165,53132,6,4
CA-2017-158834,2017-03-16,first class,TW-21025,85254,49,3
CA-2016-124919,2016-06-02,first class,SP-20650,95123,50,2
CA-2016-118948,2016-06-03,standard class,NK-18490,98105,51,6
CA-2015-104269,2015-03-06,second class,DB-13060,98115,52,5
CA-2017-114104,2017-11-24,standard class,NP-18670,73034,53,4
CA-2017-162733,2017-05-12,first class,TT-21070,90045,54,1
CA-2016-119697,2016-12-31,second class,EM-13960,19134,55,3
CA-2017-154508,2017-11-20,standard class,RD-19900,88220,56,4
CA-2017-113817,2017-11-11,standard class,MJ-17740,98115,57,4
CA-2015-139892,2015-09-12,standard class,BM-11140,78207,58,4
CA-2015-118962,2015-08-09,standard class,CS-12130,90004,59,4
US-2015-100853,2015-09-19,standard class,JB-15400,60623,60,5
US-2016-101511,2016-11-23,second class,JE-15745,43055,61,2
CA-2015-166191,2015-12-09,second class,DK-13150,62521,22,4
CA-2015-158274,2015-11-24,second class,RM-19675,71203,62,5
CA-2017-105018,2017-12-02,standard class,SK-19990,6824,63,4
CA-2015-123260,2015-08-30,standard class,FM-14290,90032,64,4
CA-2017-157000,2017-07-22,standard class,AM-10360,75051,65,6
CA-2016-102281,2016-10-14,first class,MP-17470,10035,66,2
CA-2016-131457,2016-11-06,standard class,MZ-17515,92374,67,6
CA-2018-107720,2018-11-13,standard class,VM-21685,7090,33,7
CA-2018-105074,2018-06-29,standard class,MB-17305,44312,68,5
CA-2015-133690,2015-08-05,first class,BS-11755,80219,69,2
US-2018-116701,2018-12-21,second class,LC-17140,75220,70,4
CA-2018-108329,2018-12-14,standard class,LE-16810,90604,25,5
CA-2018-135860,2018-12-07,standard class,JH-15985,48601,71,6
CA-2016-101007,2016-02-13,second class,MS-17980,75220,72,4
CA-2016-146262,2016-01-09,standard class,VW-21775,44256,73,7
CA-2017-130162,2017-11-01,standard class,JH-15910,90032,74,4
CA-2016-169397,2016-12-27,first class,JB-15925,43017,75,3
CA-2016-163055,2016-08-16,standard class,DS-13180,48227,76,7
US-2016-145436,2016-03-04,standard class,VD-21670,38401,77,5
US-2015-156216,2015-09-17,standard class,EA-14035,28205,78,4
US-2018-100930,2018-04-12,standard class,CS-12400,33614,79,5
CA-2018-160514,2018-11-16,standard class,DB-13120,95051,80,4
CA-2017-157749,2017-06-09,second class,KL-16645,60610,81,5
CA-2015-131926,2015-06-06,second class,DW-13480,55044,82,5
CA-2017-146941,2017-12-13,first class,DL-13315,10024,83,3
US-2016-159982,2016-12-04,standard class,DR-12880,60623,84,6
CA-2018-163139,2018-12-03,second class,CC-12670,10009,71,2
US-2018-155299,2018-06-12,standard class,Dl-13600,77506,85,4
CA-2017-125318,2017-06-13,standard class,RC-19825,60610,86,7
CA-2016-155040,2016-11-15,standard class,AH-10210,94513,87,5
CA-2017-111010,2017-01-28,standard class,PG-18895,7960,88,6
US-2018-145366,2018-12-13,standard class,CA-12310,45231,25,4
CA-2016-155334,2016-07-31,first class,HA-14920,94109,89,1
CA-2018-118136,2018-09-17,first class,BB-10990,90301,90,1
CA-2018-132976,2018-10-17,standard class,AG-10495,19140,91,4
US-2016-161991,2016-09-28,second class,SC-20725,77070,92,2
CA-2016-130883,2016-10-02,standard class,TB-21520,97206,92,6
CA-2017-112697,2017-12-20,second class,AH-10195,33319,93,2
CA-2017-110772,2017-11-24,second class,NZ-18565,43229,53,4
CA-2015-111451,2015-12-28,first class,KL-16555,80906,94,2
CA-2017-142545,2017-11-03,standard class,JD-15895,7109,74,6
US-2018-152380,2018-11-23,standard class,JH-15910,60623,95,4
CA-2016-144253,2016-05-09,second class,AS-10225,10024,96,5
CA-2015-130960,2016-01-04,standard class,KB-16600,48180,97,5
CA-2015-111003,2015-06-06,standard class,CR-12625,8701,82,5
CA-2018-126774,2018-04-17,first class,SH-20395,22204,5,2
CA-2017-142902,2017-09-14,second class,BP-11185,80004,98,2
CA-2015-167850,2015-08-16,standard class,AG-10525,33710,99,7
CA-2015-164973,2015-11-09,standard class,NM-18445,10024,100,5
CA-2015-156601,2015-09-24,standard class,FA-14230,90805,101,5
CA-2017-162138,2017-04-27,standard class,GK-14620,92345,102,4
CA-2018-153339,2018-11-05,second class,DJ-13510,37130,103,2
US-2017-141544,2017-09-01,first class,PO-18850,19143,104,2
US-2017-150147,2017-04-29,second class,JL-15850,19134,105,4
CA-2016-137946,2016-09-04,second class,DB-13615,90045,106,3
CA-2015-129924,2015-07-17,standard class,AC-10420,94122,107,5
CA-2015-122336,2015-04-17,second class,JD-15895,19140,108,4
US-2016-120712,2016-12-24,standard class,CS-12130,78745,109,4
CA-2018-169901,2018-06-19,standard class,CC-12550,94122,110,4
CA-2018-134306,2018-07-12,standard class,TD-20995,1852,111,4
CA-2017-129714,2017-09-03,first class,AB-10060,10009,112,2
CA-2017-138520,2017-04-13,standard class,JL-15505,10035,113,5
CA-2017-130001,2017-04-28,standard class,HK-14890,28205,102,5
CA-2018-144904,2018-10-01,standard class,KW-16435,10009,114,6
CA-2017-155516,2017-10-21,same day,MK-17905,6040,115,0
CA-2018-104745,2018-06-04,standard class,GT-14755,78550,116,6
US-2015-119137,2015-07-27,standard class,AG-10900,85705,117,4
US-2017-134656,2017-10-01,first class,MM-18280,62301,118,3
CA-2016-130792,2016-05-05,standard class,RA-19915,77095,119,7
CA-2017-134775,2017-10-29,first class,AS-10285,94109,74,1
CA-2016-125395,2016-06-29,second class,LA-16780,48180,120,3
US-2016-168935,2016-12-02,standard class,DO-13435,33024,121,5
CA-2016-122756,2016-12-07,standard class,DK-13225,19140,122,4
CA-2015-115973,2015-11-26,first class,NG-18430,45231,123,2
CA-2018-101798,2018-12-15,standard class,MV-18190,10009,124,4
US-2015-135972,2015-09-23,second class,JG-15115,98198,125,2
US-2015-134971,2015-06-10,second class,BP-11095,61604,126,3
CA-2018-102946,2018-07-05,standard class,VP-21730,89115,127,5
CA-2018-165603,2018-10-19,second class,SS-20140,2886,128,2
CA-2017-108987,2017-09-10,second class,AG-10675,77036,129,2
CA-2015-113166,2015-12-26,first class,LF-17185,33180,130,2
CA-2018-117933,2018-12-29,standard class,RF-19840,10024,131,5
CA-2018-117457,2018-12-12,standard class,KH-16510,94110,132,4
CA-2018-142636,2018-11-07,standard class,KC-16675,98105,103,4
CA-2018-122105,2018-06-28,standard class,CJ-12010,92646,68,4
CA-2017-148796,2017-04-18,standard class,PB-19150,90004,133,4
CA-2018-154816,2018-11-10,standard class,VB-21745,40475,33,4
CA-2018-110478,2018-03-09,standard class,SP-20860,90045,134,5
CA-2015-142048,2015-06-25,first class,JE-15745,80027,135,3
CA-2018-125388,2018-10-23,standard class,MP-17965,1841,13,4
CA-2018-149160,2018-11-26,second class,JM-15265,48187,40,3
CA-2018-152275,2018-10-08,standard class,KH-16630,78207,136,7
US-2017-123750,2017-04-21,standard class,RB-19795,28052,137,6
US-2015-150574,2015-12-25,standard class,MK-18160,32216,138,6
CA-2017-147375,2017-06-14,second class,PO-19180,60623,2,2
CA-2018-130043,2018-09-19,standard class,BB-11545,77070,139,4
CA-2018-157252,2018-01-23,second class,CV-12805,10024,140,3
CA-2017-115756,2017-09-07,second class,PK-19075,48227,141,2
CA-2017-166674,2017-04-03,second class,RB-19360,13021,142,2
CA-2018-147277,2018-10-24,standard class,EB-13705,44312,143,4
CA-2017-100153,2017-12-17,standard class,KH-16630,73071,144,4
US-2017-157945,2017-10-01,standard class,NF-18385,62521,145,5
CA-2016-109638,2016-12-22,standard class,JH-15985,98115,146,7
CA-2017-109869,2017-04-29,standard class,TN-21040,85023,147,7
US-2016-101399,2016-01-24,standard class,JS-15940,60068,148,7
CA-2018-154907,2018-04-04,standard class,DS-13180,79109,149,4
US-2017-100419,2017-12-20,second class,CC-12670,60610,150,4
CA-2015-144666,2015-11-11,second class,JP-15520,94110,151,2
CA-2017-103891,2017-07-19,standard class,KH-16690,90008,152,7
CA-2017-152632,2017-11-02,standard class,JE-15475,12180,153,6
CA-2017-100790,2017-07-02,standard class,JG-15805,10024,154,6
CA-2015-134677,2015-10-10,standard class,XP-21865,92024,155,4
CA-2015-127691,2015-07-27,standard class,EM-14065,10024,156,5
CA-2018-140963,2018-06-13,first class,MT-18070,90045,157,3
CA-2015-133753,2015-06-13,second class,CW-11905,77340,4,4
CA-2015-113362,2015-09-19,standard class,AJ-10960,14609,60,5
CA-2017-169166,2017-05-14,standard class,SS-20590,98115,158,5
US-2017-120929,2017-03-21,second class,RO-19780,38109,159,3
CA-2017-126158,2017-07-31,standard class,SC-20095,92627,160,6
US-2017-105578,2017-06-04,standard class,MY-17380,80134,161,5
CA-2016-145352,2016-03-22,standard class,CM-12385,30318,162,6
CA-2018-135307,2018-11-27,first class,LS-17245,64118,163,1
CA-2018-163405,2018-12-25,standard class,BN-11515,90049,164,4
CA-2018-127432,2018-01-27,standard class,AD-10180,59405,165,5
CA-2016-157812,2016-03-26,standard class,DB-13210,77041,166,4
CA-2018-145142,2018-01-25,first class,MC-17605,48234,167,2
US-2017-139486,2017-05-23,first class,LH-17155,90032,168,2
CA-2016-158792,2017-01-02,standard class,BD-11605,1841,169,7
US-2016-138303,2016-09-07,standard class,MG-18145,19134,26,4
CA-2016-102848,2016-11-09,second class,KB-16240,90036,170,2
US-2018-129441,2018-09-11,standard class,JC-15340,90032,171,4
CA-2017-168753,2017-06-01,second class,RL-19615,36116,172,3
CA-2017-126613,2017-07-16,standard class,AA-10375,85204,173,6
CA-2016-147851,2016-12-08,standard class,MP-17470,10009,122,5
CA-2016-134894,2016-12-11,standard class,DK-12985,42420,174,4
CA-2015-140795,2015-02-03,first class,BD-11500,54302,175,2
CA-2017-136924,2017-07-17,first class,ES-14080,85705,176,3
CA-2015-103849,2015-05-16,standard class,PG-18895,76106,177,5
CA-2018-162929,2018-11-22,first class,AS-10135,10035,95,3
CA-2016-113173,2016-11-17,second class,DK-13225,60653,178,2
CA-2018-101945,2018-11-28,standard class,GT-14710,77070,179,4
CA-2015-155852,2015-03-07,second class,AJ-10945,28403,180,4
CA-2017-113243,2017-06-15,standard class,OT-18730,90045,181,5
CA-2018-118731,2018-11-22,second class,LP-17080,94110,182,2
CA-2015-145576,2015-09-18,second class,CA-12775,33614,60,4
CA-2016-130736,2016-12-09,first class,JF-15490,98105,174,2
CA-2018-137099,2018-12-10,first class,FP-14320,90008,183,3
CA-2018-156951,2018-10-08,standard class,EB-13840,98105,136,7
CA-2018-164826,2019-01-04,standard class,JF-15415,10024,184,7
CA-2017-127250,2017-11-07,standard class,SF-20200,98270,185,4
CA-2016-149713,2016-09-22,second class,TG-21640,90805,186,4
CA-2016-132906,2016-09-14,standard class,CC-12145,90004,187,4
CA-2018-145233,2018-12-05,standard class,DV-13465,80219,71,4
CA-2016-128139,2016-07-09,standard class,BD-11725,40475,188,6
US-2017-156986,2017-03-24,standard class,ZC-21910,97301,189,4
CA-2015-135405,2015-01-13,standard class,MS-17830,78041,190,4
CA-2015-131450,2015-08-15,standard class,LR-16915,92024,191,7
CA-2017-120180,2017-07-16,first class,TP-21130,19134,176,2
US-2017-100720,2017-07-21,standard class,CK-12205,19120,65,5
CA-2015-149958,2015-03-19,standard class,AS-10240,33614,192,4
US-2015-105767,2015-05-27,standard class,AR-10510,19134,193,4
CA-2017-161816,2017-05-01,first class,NB-18655,75217,194,3
CA-2017-121223,2017-09-13,second class,GD-14590,19143,195,2
CA-2018-138611,2018-11-17,second class,CK-12595,43123,196,3
CA-2018-117947,2018-08-23,second class,NG-18355,10011,197,5
CA-2018-153787,2018-05-23,standard class,AT-10735,98115,198,4
US-2017-135720,2017-12-13,second class,FM-14380,80013,19,2
CA-2016-168004,2016-10-09,second class,DJ-13420,31088,199,5
US-2017-123470,2017-08-21,standard class,ME-17725,80013,200,6
CA-2017-115917,2017-05-25,standard class,RB-19465,94591,201,5
CA-2017-147067,2017-12-22,standard class,JD-16150,55407,93,4
CA-2018-167913,2018-08-03,second class,JL-15835,92691,202,4
CA-2018-106103,2018-06-15,standard class,SC-20305,48307,157,5
US-2018-127719,2018-07-25,standard class,TW-21025,7060,203,4
CA-2017-103947,2017-04-08,standard class,BB-10990,85635,142,7
CA-2017-160745,2017-12-16,second class,AR-10825,98661,19,5
CA-2018-140844,2018-06-23,standard class,AR-10405,10035,204,4
CA-2017-137239,2017-08-28,standard class,CR-12730,43229,205,6
US-2017-156097,2017-09-19,same day,EH-14125,60505,206,0
CA-2018-132682,2018-06-10,second class,TH-21235,75081,85,2
US-2018-106663,2018-06-13,standard class,MO-17800,60653,207,4
CA-2018-111178,2018-06-22,standard class,TD-20995,62301,110,7
CA-2018-130351,2018-12-08,first class,RB-19570,47201,208,3
US-2018-119438,2018-03-23,standard class,CD-11980,75701,209,5
CA-2017-164511,2017-11-24,standard class,DJ-13630,10024,210,5
CA-2015-157784,2015-07-08,first class,MC-17845,39212,211,3
US-2015-117135,2015-06-23,second class,NP-18325,22980,212,2
CA-2016-131534,2016-04-02,standard class,AB-10165,90036,213,5
CA-2016-119291,2016-05-17,first class,JO-15550,19013,214,3
CA-2016-142027,2016-04-14,standard class,JK-15370,90805,215,5
CA-2015-138527,2015-09-17,standard class,BN-11470,27511,216,5
CA-2015-112158,2015-12-04,first class,DP-13165,10035,217,2
US-2018-100048,2018-05-24,standard class,RS-19765,10550,198,5
CA-2015-153150,2015-07-06,second class,Dl-13600,98105,218,5
CA-2015-104472,2015-06-07,standard class,CK-12325,84057,219,5
CA-2017-112942,2017-02-18,standard class,RD-19810,90045,220,5
CA-2017-114713,2017-07-12,standard class,SC-20695,33012,221,5
CA-2018-144113,2018-09-20,standard class,JF-15355,78745,90,4
US-2017-150861,2017-12-06,first class,EG-13900,11572,222,3
CA-2018-131954,2018-01-25,standard class,DS-13030,98115,223,4
CA-2015-132500,2015-09-12,standard class,GZ-14470,94110,58,4
CA-2015-112326,2015-01-08,standard class,PO-19195,60540,224,4
US-2017-146710,2017-09-01,standard class,SS-20875,75220,225,5
CA-2015-124429,2015-05-27,same day,MH-17785,92105,226,0
CA-2017-150889,2017-03-22,second class,PB-19105,60201,189,2
CA-2018-126074,2018-10-06,standard class,RF-19735,48183,227,4
CA-2016-135272,2016-12-12,standard class,MS-17830,90036,174,5
CA-2017-140928,2017-09-22,standard class,NB-18655,32216,23,4
CA-2015-106803,2016-01-02,standard class,DC-13285,55016,228,4
CA-2018-117240,2018-07-28,standard class,CP-12340,10009,229,5
CA-2016-112319,2016-09-05,standard class,AR-10510,90004,230,5
CA-2018-126046,2018-11-07,standard class,JC-16105,30318,103,4
CA-2016-114923,2016-02-13,standard class,LH-17020,43229,231,5
CA-2015-162775,2015-01-15,second class,CS-12250,71111,232,2
CA-2015-106810,2015-05-20,standard class,AJ-10795,33710,233,6
CA-2018-104220,2018-02-05,standard class,BV-11245,50315,234,6
CA-2016-144267,2016-08-23,first class,NZ-18565,94110,235,2
US-2016-157014,2016-10-06,second class,BM-11785,43229,236,3
CA-2016-154921,2016-05-28,standard class,EA-14035,29203,237,5
CA-2018-129567,2018-03-21,second class,CL-12565,93534,238,4
CA-2016-115938,2016-06-30,standard class,SA-20830,23223,120,4
CA-2015-156433,2015-09-26,standard class,ES-14020,94110,239,6
CA-2018-151428,2018-09-26,standard class,RH-19495,55901,240,5
CA-2016-124653,2016-12-26,first class,DB-13120,14609,75,2
CA-2018-105809,2018-02-23,first class,HW-14935,92105,241,3
CA-2017-136133,2017-08-23,second class,HW-14935,10024,242,5
CA-2017-115504,2017-03-17,standard class,MC-18130,71203,243,5
CA-2015-134313,2015-11-07,standard class,RA-19915,80219,244,6
CA-2016-140921,2016-02-05,first class,AA-10375,68104,245,2
CA-2015-151995,2015-10-15,first class,ZC-21910,98026,246,2
CA-2016-106565,2016-03-23,first class,BW-11110,53209,247,3
CA-2017-149370,2017-09-19,standard class,DB-13210,19140,248,4
CA-2015-140858,2015-07-02,standard class,CA-12775,19140,249,4
CA-2018-101434,2018-06-27,standard class,TR-21325,7109,250,7
US-2015-102071,2015-05-15,standard class,PG-18820,94110,251,6
CA-2018-126956,2018-08-28,standard class,GT-14710,55044,252,7
CA-2018-129462,2018-06-21,second class,JE-15745,41042,253,5
CA-2017-165316,2017-07-27,standard class,JB-15400,33614,254,4
US-2015-115987,2015-09-13,second class,LH-17020,75701,58,5
US-2017-137547,2017-03-12,standard class,EB-13705,76106,255,5
CA-2016-100454,2016-11-25,standard class,BM-11650,10035,256,5
CA-2017-161669,2017-11-09,first class,EM-14095,90036,57,2
CA-2016-114300,2016-10-17,standard class,AF-10885,40214,257,4
CA-2015-107755,2015-02-12,standard class,CK-12760,7036,258,5
CA-2017-152534,2017-06-25,second class,DP-13105,93905,17,5
CA-2017-123274,2017-02-24,standard class,GT-14710,10035,259,5
CA-2015-125612,2015-08-08,standard class,BK-11260,10035,69,5
CA-2018-161984,2018-04-15,standard class,SJ-20125,8901,260,5
CA-2015-133851,2015-06-16,standard class,CM-12445,94122,4,7
CA-2017-134474,2017-01-07,second class,AJ-10795,32216,261,2
CA-2015-149020,2015-01-15,standard class,AJ-10780,22153,262,5
CA-2017-134362,2017-10-02,first class,LS-16945,19140,263,3
CA-2015-136742,2015-04-10,standard class,GP-14740,17602,264,4
CA-2017-158099,2017-09-05,first class,PK-18910,19143,265,2
CA-2016-131128,2016-10-20,first class,TB-21520,3301,266,1
CA-2015-148488,2015-12-15,standard class,SM-20005,10009,267,5
CA-2018-114636,2018-08-29,standard class,GA-14725,28205,268,4
CA-2017-116736,2017-01-21,standard class,CC-12430,3301,269,4
CA-2018-111689,2018-12-02,second class,HP-14815,10024,270,2
CA-2017-165148,2017-10-24,first class,PM-19135,48227,271,2
CA-2015-134061,2015-05-04,standard class,LL-16840,14609,272,5
CA-2016-143602,2016-04-28,second class,JS-15595,90045,273,3
CA-2018-115364,2018-07-02,standard class,OT-18730,92105,274,6
CA-2015-104976,2015-12-16,standard class,CK-12760,94122,275,7
CA-2018-132934,2018-06-26,standard class,JE-15475,10801,250,6
CA-2018-133256,2018-06-27,first class,TH-21550,48227,274,1
CA-2017-105494,2017-11-12,first class,PC-18745,94122,276,2
CA-2017-140634,2017-10-06,second class,HL-15040,77095,277,3
CA-2015-144407,2015-09-15,standard class,MS-17365,48227,278,6
CA-2018-160983,2018-10-31,second class,GB-14530,13021,279,2
US-2017-114622,2017-04-12,first class,JR-16210,45503,280,2
CA-2018-150959,2018-11-13,first class,TD-20995,75043,281,2
CA-2018-132353,2018-09-17,first class,DB-13060,60653,139,2
CA-2017-130477,2017-04-12,standard class,LC-17140,90032,113,4
CA-2018-143259,2019-01-03,standard class,PO-18865,10009,282,4
CA-2018-137596,2018-09-07,standard class,BE-11335,49201,283,5
CA-2016-133627,2016-06-07,standard class,SC-20050,6360,50,7
CA-2018-102519,2018-11-29,first class,BM-11650,53209,284,2
US-2015-141215,2015-06-21,standard class,KL-16555,78207,285,6
CA-2017-165218,2017-03-11,standard class,RW-19630,75220,286,6
CA-2015-138296,2015-12-12,standard class,RC-19825,22304,22,7
CA-2016-111164,2016-04-15,standard class,SE-20110,10009,287,4
CA-2015-132962,2015-09-16,first class,JM-15535,19143,78,3
CA-2016-115091,2016-10-09,standard class,JJ-15760,22153,288,4
CA-2018-144932,2018-04-17,first class,AB-10165,43615,289,3
CA-2017-140081,2017-06-24,standard class,CG-12040,19120,17,4
US-2018-111745,2018-11-06,first class,RA-19885,87401,290,1
CA-2016-148250,2016-12-17,standard class,RP-19270,92503,291,4
CA-2016-120880,2016-06-03,standard class,JL-15850,98105,292,5
US-2016-140200,2016-07-28,first class,CA-12775,85204,293,2
US-2018-110576,2018-12-02,standard class,RB-19795,19120,294,4
CA-2018-131156,2018-04-07,standard class,KH-16360,19143,295,4
CA-2018-136539,2019-01-01,standard class,GH-14665,78664,184,4
CA-2018-119305,2018-12-04,standard class,SW-20275,39212,270,4
CA-2018-102414,2018-05-18,second class,JA-15970,85023,296,3
CA-2016-112571,2016-09-22,same day,DL-12925,92054,297,0
CA-2016-160059,2016-12-01,standard class,TB-21190,72701,121,4
CA-2015-127488,2015-09-24,second class,MS-17365,33433,298,2
CA-2018-135279,2018-04-11,first class,BS-11800,10011,299,2
CA-2015-115791,2015-01-18,second class,DL-13315,19134,300,2
US-2018-103247,2018-10-08,second class,PO-19195,10011,301,3
US-2018-100209,2018-07-15,standard class,TD-20995,97206,302,6
CA-2017-145499,2017-05-31,first class,RW-19690,28403,161,1
CA-2016-157035,2016-12-12,first class,KB-16600,47201,303,3
CA-2018-100314,2018-10-05,standard class,AS-10630,77506,304,6
CA-2016-146829,2016-03-10,same day,TS-21340,77041,305,0
CA-2018-167899,2018-05-26,standard class,JG-15805,13021,306,5
CA-2017-110023,2017-09-11,first class,TS-21610,10024,307,2
CA-2017-105585,2017-08-27,first class,RF-19735,95123,308,1
CA-2016-162537,2016-11-03,standard class,RD-19585,42420,309,6
CA-2017-155488,2017-11-17,standard class,FM-14290,98661,310,4
CA-2016-124891,2016-07-31,same day,RH-19495,10024,311,0
CA-2016-126445,2016-08-31,standard class,RA-19945,92563,312,4
CA-2016-111199,2016-11-17,standard class,JK-15730,28540,39,4
CA-2016-105312,2016-11-09,first class,MT-17815,85254,313,3
CA-2018-135034,2018-08-03,first class,AT-10735,60653,314,2
CA-2018-118437,2018-06-21,second class,PF-19165,98502,35,4
US-2016-126214,2016-12-24,second class,JS-15880,98103,315,3
CA-2016-133025,2016-09-19,second class,MO-17800,90036,12,2
CA-2016-108665,2016-07-10,standard class,KM-16225,10011,316,4
CA-2016-124450,2016-05-03,standard class,GT-14710,20016,317,6
CA-2016-167269,2016-06-20,standard class,PB-19150,19134,318,4
CA-2018-106964,2018-12-20,first class,HR-14770,90045,70,3
CA-2017-126529,2017-01-13,second class,DE-13255,45503,319,2
CA-2015-163552,2015-07-15,standard class,LA-16780,7601,320,4
CA-2017-109820,2017-11-22,first class,AG-10390,45231,53,2
CA-2017-113061,2017-04-26,standard class,EL-13735,65109,147,4
CA-2016-127418,2016-06-14,first class,JJ-15445,90004,321,1
CA-2018-121818,2018-11-21,first class,JH-15430,27217,182,1
CA-2017-102981,2017-09-09,second class,MO-17500,10035,36,3
CA-2018-115651,2018-07-12,first class,NS-18640,60610,302,3
CA-2015-139192,2015-06-01,second class,LC-16885,94109,226,5
US-2016-153500,2016-07-05,first class,DG-13300,19134,188,2
CA-2016-110667,2016-04-08,standard class,NF-18595,10009,322,4
CA-2018-167150,2018-12-17,standard class,BP-11185,92037,323,7
CA-2017-105284,2017-12-01,standard class,MG-17650,19143,324,7
US-2016-125374,2016-03-29,standard class,JD-16060,77095,325,6
CA-2016-161263,2016-04-21,standard class,TS-21160,43615,326,5
US-2018-139955,2018-09-30,second class,CM-12160,78521,327,2
US-2016-150161,2016-07-29,standard class,RB-19795,19143,328,4
CA-2016-144652,2016-11-26,standard class,SN-20560,90008,256,6
CA-2017-152814,2017-05-02,standard class,EH-14005,80219,194,4
CA-2018-106943,2018-11-19,standard class,FO-14305,10035,196,5
CA-2017-134348,2017-11-19,standard class,MS-17710,85204,329,7
CA-2017-161781,2017-09-30,first class,CC-12100,47201,263,1
CA-2018-132521,2018-09-25,second class,DW-13540,98105,330,2
CA-2016-110016,2016-12-04,standard class,BT-11395,48227,331,5
US-2017-143819,2017-03-05,standard class,KD-16270,10701,332,4
CA-2017-167584,2017-08-12,same day,LC-16870,50315,333,0
CA-2017-166163,2017-08-20,second class,CY-12745,94601,200,5
CA-2018-158407,2018-06-10,standard class,LW-16990,28110,334,6
CA-2016-143490,2016-12-13,standard class,NP-18325,92105,335,7
CA-2016-165085,2016-12-31,standard class,BT-11485,20735,14,4
CA-2018-160423,2018-01-26,standard class,PS-19045,28205,223,5
CA-2015-159338,2015-06-28,first class,NS-18640,90049,336,3
CA-2017-107216,2017-06-17,first class,PV-18985,94122,337,3
US-2018-145863,2018-04-27,standard class,RP-19390,77041,338,6
US-2017-110156,2017-11-24,standard class,EH-13945,77041,210,5
CA-2018-140585,2018-12-23,second class,RA-19915,92024,339,5
CA-2017-144855,2017-07-24,second class,DL-13495,94110,340,2
CA-2016-142755,2016-09-08,standard class,CS-12355,30076,341,4
US-2015-147627,2015-01-26,standard class,HL-15040,72401,342,6
CA-2016-105970,2016-03-07,standard class,PA-19060,47374,343,5
CA-2017-112102,2017-04-16,standard class,BD-11605,22153,344,4
US-2017-114776,2017-12-07,first class,GG-14650,94509,345,1
